"No.","Time","Source","Destination","Protocol","Length","Info"
"123","5.980909","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"124","6.009963","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"125","6.010902","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=33, FN=0, Flags=.p.....TC"
"126","6.010912","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"127","6.039914","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"128","6.040886","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=34, FN=0, Flags=.p.....TC"
"129","6.040896","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"130","6.042887","Cisco-Li_82:b2:55","Broadcast","802.11","168","Beacon frame, SN=4053, FN=0, Flags=........C, BI=100, SSID=Coherer"
"131","6.043893","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4054, FN=0, Flags=.pm...F.C"
"132","6.044885","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4055, FN=0, Flags=.pm...F.C"
"133","6.045893","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4056, FN=0, Flags=.pm...F.C"
"134","6.046885","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","108","Data, SN=4057, FN=0, Flags=.p....F.C"
"135","6.070911","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"136","6.071889","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=35, FN=0, Flags=.p.....TC"
"137","6.071899","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Acknowledgement, Flags=........C"
"138","6.100890","","Apple_82:36:3a (00:0d:93:82:36:3a) (RA)","802.11","38","Clear-to-send, Flags=........C"
"139","6.101882","Apple_82:36:3a","AppleTalk-broadcast-address","802.11","104","Data, SN=36, FN=0, Flags=.p.....TC"
